8712100516382, 10
8712100516381, 10
8718907136068, 29
8718907136067, 9
8718907136066, 13
77074515, 55
77074514, 30
77074513, 33
8710400131472, 34
8710400131471, 11
3344234532002, 64
3344234532003, 145
3344234532004, 55
5000112544631, 79
5000112544632, 102
5000112544633, 23
5000112544634, 66
5000112544635, 7
5000112544636, 16
770835501, 13
770835502, 6
770835504, 6
770835505, 13
770835602, 23
770835604, 30
770835605, 7
4211423453201, 13
4211423453202, 31
4211423453203, 12
4211423453204, 13
4211423453205, 3
4211423453206, 26
4211423453207, 25
4211423453208, 21
4266423453202, 39
4266423453203, 10
4266423453204, 26
4216642345305, 31
4266423453207, 17
4266423453208, 3
3214563456672, 4
3214563456673, 2
3214555456671, 18
3214555456672, 14
3214555456673, 9
3211255456671, 21
3211255456672, 22
3211255456673, 10
1211255453301, 32
1211255453302, 6
1211255453303, 24
1211255453305, 34
