8718907136068, 37
77074513, 43
8710400131472, 54
8710400131471, 111
8710400131470, 138
3344234532002, 145
5000112544631, 126
5000112544633, 39
5000112544634, 6
5000112544636, 17
770835501, 11
770835502, 14
770835601, 10
770835602, 38
770835604, 32
770835605, 4
4211423453202, 18
4211423453203, 26
4211423453204, 48
4211423453205, 19
4211423453206, 35
4211423453208, 33
4266423453201, 38
4266423453202, 31
4266423453203, 13
4266423453204, 54
4266423453206, 19
3214563456671, 1
3214563456672, 16
3214555456672, 8
3214555456673, 17
3211255456671, 26
3211255456673, 3
1211255453301, 8
1211255453303, 19
1211255453304, 18
1211255453305, 72
