8712100516382, 10
8712100516381, 6
8718907136068, 32
8718907136067, 8
8718907136066, 26
77074515, 13
77074514, 7
77074513, 14
8710400131472, 16
8710400131471, 83
8710400131470, 3
3344234532001, 46
3344234532002, 108
3344234532004, 89
5000112544631, 24
5000112544632, 70
5000112544633, 58
5000112544634, 4
5000112544635, 20
5000112544636, 2
770835501, 2
770835502, 2
770835503, 10
770835504, 5
770835505, 8
770835601, 24
770835602, 33
770835603, 3
770835605, 9
4211423453201, 19
4211423453202, 28
4211423453203, 26
4211423453204, 28
4211423453205, 1
4211423453206, 23
4211423453207, 19
4211423453208, 31
4266423453201, 16
4266423453202, 3
4266423453203, 17
4266423453204, 30
4216642345305, 29
4266423453206, 24
4266423453207, 12
4266423453208, 6
3214563456671, 8
3214563456672, 2
3214563456673, 8
3214555456671, 16
3214555456672, 9
3214555456673, 9
3211255456671, 6
3211255456672, 2
3211255456673, 10
1211255453302, 53
1211255453303, 42
1211255453304, 48
1211255453305, 40
